City,Country,Category,Item Name,Min Local,Avg Local,Max Local,Currency,Min USD,Avg USD,Max USD
Prague,Czech Republic,Markets,"Apples, 1 kg",22.15,37.14,52.13,CZK,1.06,1.78,2.49
Prague,Czech Republic,Markets,"Banana, 1 kg",25.19,33.23,60.38,CZK,1.20,1.59,2.89
Prague,Czech Republic,Markets,"Beef Round or Equivalent Back Leg Red Meat, 1 kg ",161.15,234.55,362.69,CZK,7.70,11.21,17.33
Prague,Czech Republic,Markets,"Bottle of Wine, Mid-Range Price",100.77,130.96,201.54,CZK,4.82,6.26,9.63
Prague,Czech Republic,Markets,"Chicken Breasts, Boneless and Skinless, 1 kg",90.56,149.42,208.28,CZK,4.33,7.14,9.95
Prague,Czech Republic,Markets,"Domestic Beer, 0.5 liter Bottle",12.16,18.24,31.27,CZK,0.58,0.87,1.49
Prague,Czech Republic,Markets,"Eggs, 12 pack",30.19,44.52,72.54,CZK,1.44,2.13,3.47
Prague,Czech Republic,Markets,"Lettuce, 1 head",19.98,26.06,35.18,CZK,0.95,1.25,1.68
Prague,Czech Republic,Markets,"Loaf of Fresh White Bread, 0.5 kg",15.2,25.84,45.39,CZK,0.73,1.23,2.17
Prague,Czech Republic,Markets,"Local Cheese, 1 kg",151.16,221.95,352.48,CZK,7.22,10.61,16.85
Prague,Czech Republic,Markets,"Milk, Regular,1 liter",14.12,20.41,28.23,CZK,0.67,0.98,1.35
Prague,Czech Republic,Markets,"Onion, 1 kg",12.16,20.85,30.19,CZK,0.58,1.00,1.44
Prague,Czech Republic,Markets,"Oranges, 1 kg",29.54,40.83,70.58,CZK,1.41,1.95,3.37
Prague,Czech Republic,Markets,Pack of Cigarettes,100.77,110.76,130.96,CZK,4.82,5.29,6.26
Prague,Czech Republic,Markets,"Potato, 1 kg",12.16,23.46,34.76,CZK,0.58,1.12,1.66
Prague,Czech Republic,Markets,"White Rice, 1 kg",20.2,37.57,60.38,CZK,0.97,1.80,2.89
Prague,Czech Republic,Markets,"Tomato, 1 kg",30.19,53.86,90.35,CZK,1.44,2.57,4.32
Prague,Czech Republic,Markets,"Water, 1.5 liter Bottle",9.99,14.99,20.2,CZK,0.48,0.72,0.97
Prague,Czech Republic,Restaurants,Cappuccino,40.39,56.25,90.56,CZK,1.93,2.69,4.33
Prague,Czech Republic,Restaurants,"Coca-Cola, 0.33 liter Bottle",22.15,35.83,49.51,CZK,1.06,1.71,2.37
Prague,Czech Republic,Restaurants,"Domestic Beer, 0.5 liter Draught",35.18,40.39,55.38,CZK,1.68,1.93,2.65
Prague,Czech Republic,Restaurants,"Imported Beer, 0.33 liter Bottle",40.39,50.39,75.58,CZK,1.93,2.41,3.61
Prague,Czech Republic,Restaurants,McMeal at McDonalds or Alternative Combo Meal,135.95,151.16,171.14,CZK,6.50,7.22,8.18
Prague,Czech Republic,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",604.4,805.73,1208.81,CZK,28.89,38.51,57.77
Prague,Czech Republic,Restaurants,Meal in Inexpensive Restaurant,120.97,151.16,251.71,CZK,5.78,7.22,12.03
Prague,Czech Republic,Markets,"Water, 0.33 liter Bottle",20.2,28.23,40.39,CZK,0.97,1.35,1.93
Prague,Czech Republic,Markets,"Imported Beer, 0.33 liter Bottle",25.19,39.31,53.43,CZK,1.20,1.88,2.55
